United States,37.09024,95.712891,12,8,1,1,3,1,4,3,0,0,0,0,0,0,0,0,0,0,81,73,0,0,11.6,101.8,88.2,14.7
United Kingdom,55.378051,3.435973,3,0,1,1,2,2,5,4,0,0,0,0,0,0,0,0,0,0,83,81,0,0,11,101.2,60,3.85
China,35.86166,104.195397,0,0,0,0,0,0,0,0,97,97,93,93,63,67,82,85,0,0,80,79,100,100,10.9,100.2,50.6,4.32
South Korea,35.907757,127.766922,1,1,1,1,3,3,4,4,0,0,0,0,0,0,0,97,0,0,85,85,0,0,6.4,98.1,94.3,4.15
North Korea,40.339852,127.510093,0,0,0,0,0,0,0,0,100,100,100,100,100,100,94,0,0,0,0,0,0,0,13.89,112.8,27,2.74
France,46.227638,2.213749,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,94,58,79,79,0,0,11.3,102.5,65.6,8.43
Germany,51.165691,10.451526,1,1,1,0,6,4,12,16,0,0,0,0,0,0,0,0,95,77,79,79,0,0,9.5,104,70.2,3.04
Egypt,26.820553,30.802498,63,63,0,0,3,2,23,24,91,92,79,81,43,41,0,0,0,0,0,21,0,0,26.38,106.3,35.2,10.76
India,20.593684,78.96288,0,0,3,1,18,12,47,48,92,91,82,79,46,40,47,53,46,44,0,0,93,90,17.86,113,28.1,5.36
Israel,31.046051,34.851612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,69,66,0,0,20.8,104.9,63.4,3.86
Italy,41.87194,12.56738,6,7,3,3,2,2,6,5,0,0,0,0,0,0,98,69,0,0,77,62,100,100,7.3,101.9,61.9,9.89
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,83,89,0,0,7.4,98.8,63.2,2.29
South Africa,30.559482,22.937506,28,27,12,10,16,13,22,20,95,98,85,91,45,52,22,0,0,13,0,0,0,0,20.51,100.9,22.4,28.18
Russia,61.52401,105.318756,9,10,1,0,2,1,3,3,0,0,0,0,0,0,0,0,99,89,78,78,100,100,11.5,102.6,81.9,4.59
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,0,0,0,0,0,0,96,69,0,0,86,84,0,0,10.1,100.9,68.9,5.56
Australia,25.274398,133.775136,13,14,0,0,2,3,10,6,0,0,0,0,0,0,94,70,0,64,80,78,0,0,12.6,100.3,113.1,5.27
Netherlands,52.132633,5.291266,1,0,1,1,3,2,1,1,0,0,0,0,0,0,99,83,0,0,76,84,0,0,9.7,104.2,85,3.2
Saudi Arabia,23.885942,45.079162,51,48,1,3,0,3,3,9,0,0,0,0,0,0,63,16,0,0,48,11,0,0,17.8,99.8,68,5.93
Brazil,14.235004,51.92528,0,1,1,1,2,3,16,14,95,97,81,89,65,75,80,71,53,52,50,32,99,99,13.92,115.4,51.3,12.08
Spain,40.463667,3.74922,5,5,3,3,1,1,2,1,0,0,0,0,0,0,97,67,0,0,84,75,100,100,7.9,102.7,88.9,13.96
Switzerland,46.818188,8.227512,1,0,0,0,1,1,16,20,0,0,0,0,0,0,0,0,0,0,76,83,0,0,10,105.2,59.6,4.58
Ukraine,48.379433,31.16558,0,0,9,7,4,3,7,4,100,99,100,100,97,97,0,0,0,0,74,64,0,0,8.7,99,82.7,8.88
Singapore,1.352083,103.819836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,93,0,0,89,94,100,100,8.8,100.6,84.8,4.11
United Arab Emirates,23.424076,53.847818,0,0,8,5,2,3,2,2,0,0,0,0,0,0,68,42,0,0,57,46,0,0,10.33,108.4,36.8,2.35
Turkey,38.963745,35.243322,23,25,5,5,6,7,17,17,99,98,96,92,51,44,0,0,0,57,74,42,0,0,16.03,93.2,23.9,13.49
